accident_id,latitude,longitude,date,severity,near_junction
ACC00201,13.00568,80.245981,2024-08-20,Minor,Madhya Kailash Junction
ACC00378,12.789474,80.220709,2024-12-23,Minor,Kelambakkam (ECR/OMR)
ACC00278,12.967068,80.245219,2023-07-17,Fatal,Perungudi (OMR)
ACC00411,12.785611,80.221319,2025-05-01,Fatal,Kelambakkam (ECR/OMR)
ACC00054,13.012487,80.201108,2025-09-21,Fatal,Kathipara Junction
ACC00085,13.130734,80.213334,2024-11-11,Minor,Retteri Junction
ACC00323,12.92855,80.126793,2025-01-15,Grievous,Tambaram (GST Road)
ACC00302,12.920959,80.129976,2025-07-30,Grievous,Tambaram (GST Road)
ACC00258,12.963637,80.244028,2023-02-13,Minor,Perungudi (OMR)
ACC00386,12.790004,80.221472,2025-10-19,Minor,Kelambakkam (ECR/OMR)
ACC00275,12.956218,80.245571,2025-07-17,Grievous,Perungudi (OMR)
ACC00113,13.132399,80.214495,2025-07-23,Minor,Retteri Junction
ACC00025,13.008091,80.200677,2025-02-20,Fatal,Kathipara Junction
ACC00036,13.010242,80.205484,2025-12-26,Fatal,Kathipara Junction
ACC00241,12.968082,80.239194,2024-08-27,Minor,Perungudi (OMR)
ACC00338,12.924739,80.126118,2024-05-01,Grievous,Tambaram (GST Road)
ACC00059,13.007257,80.202681,2025-10-26,Grievous,Kathipara Junction
ACC00414,12.791569,80.219755,2023-08-06,Grievous,Kelambakkam (ECR/OMR)
ACC00184,13.003219,80.24736,2023-03-23,Fatal,Madhya Kailash Junction
ACC00106,13.136396,80.217883,2024-09-27,Fatal,Retteri Junction
ACC00405,12.787459,80.21689,2023-12-17,Grievous,Kelambakkam (ECR/OMR)
ACC00292,12.926325,80.129166,2023-06-23,Grievous,Tambaram (GST Road)
ACC00299,12.92512,80.12453,2025-10-15,Fatal,Tambaram (GST Road)
ACC00070,13.003794,80.205132,2025-12-19,Grievous,Kathipara Junction
ACC00199,13.006535,80.247832,2024-04-05,Grievous,Madhya Kailash Junction
ACC00087,13.129684,80.21904,2023-03-21,Fatal,Retteri Junction
ACC00408,12.78702,80.215836,2023-03-04,Grievous,Kelambakkam (ECR/OMR)
ACC00077,13.006474,80.205085,2023-11-27,NonInjury,Kathipara Junction
ACC00319,12.919704,80.128698,2024-10-20,Minor,Tambaram (GST Road)
ACC00162,13.008485,80.251957,2025-12-10,Grievous,Madhya Kailash Junction
ACC00372,12.792039,80.222026,2025-06-19,Minor,Kelambakkam (ECR/OMR)
ACC00033,13.010805,80.201723,2023-08-18,Grievous,Kathipara Junction
ACC00101,13.127384,80.207976,2024-09-08,Minor,Retteri Junction
ACC00343,12.923344,80.127873,2023-10-11,Fatal,Tambaram (GST Road)
ACC00234,12.962249,80.240759,2024-03-24,Minor,Perungudi (OMR)
ACC00277,12.960423,80.240398,2025-08-29,Fatal,Perungudi (OMR)
ACC00297,12.92236,80.126566,2023-04-23,Fatal,Tambaram (GST Road)
ACC00307,12.925068,80.130996,2025-03-21,Grievous,Tambaram (GST Road)
ACC00207,12.964062,80.240456,2024-11-11,Grievous,Perungudi (OMR)
ACC00097,13.129489,80.214651,2024-11-07,Minor,Retteri Junction
ACC00284,12.962131,80.244317,2025-01-22,Minor,Perungudi (OMR)
ACC00430,12.7893,80.220499,2024-11-13,Fatal,Kelambakkam (ECR/OMR)
ACC00221,12.959665,80.236811,2023-04-25,Fatal,Perungudi (OMR)
ACC00108,13.134343,80.213374,2025-07-21,Minor,Retteri Junction
ACC00392,12.794544,80.216304,2023-12-23,Minor,Kelambakkam (ECR/OMR)
ACC00047,13.009883,80.205533,2025-08-14,Grievous,Kathipara Junction
ACC00422,12.789208,80.223969,2025-08-21,Minor,Kelambakkam (ECR/OMR)
ACC00074,13.006861,80.201727,2024-06-24,Minor,Kathipara Junction
ACC00009,13.008975,80.199166,2025-02-14,Grievous,Kathipara Junction
ACC00217,12.959991,80.244692,2025-09-26,Minor,Perungudi (OMR)
ACC00018,13.009635,80.198828,2023-05-16,Grievous,Kathipara Junction
ACC00364,12.922165,80.131035,2024-11-11,Minor,Tambaram (GST Road)
ACC00348,12.927437,80.121305,2025-04-29,Minor,Tambaram (GST Road)
ACC00434,12.786422,80.219835,2024-09-05,Grievous,Kelambakkam (ECR/OMR)
ACC00402,12.787921,80.224233,2025-11-28,Grievous,Kelambakkam (ECR/OMR)
ACC00109,13.126607,80.215956,2025-02-25,Fatal,Retteri Junction
ACC00012,13.008528,80.195091,2023-07-26,Minor,Kathipara Junction
ACC00308,12.928311,80.123392,2023-12-11,Fatal,Tambaram (GST Road)
ACC00304,12.924115,80.123981,2023-02-12,Fatal,Tambaram (GST Road)
ACC00437,12.788067,80.218652,2024-04-11,Minor,Kelambakkam (ECR/OMR)
ACC00001,13.006838,80.203191,2024-04-02,Grievous,Kathipara Junction
ACC00066,13.000617,80.205542,2023-01-20,Minor,Kathipara Junction
ACC00102,13.125518,80.216952,2024-03-06,Grievous,Retteri Junction
ACC00256,12.962744,80.241818,2025-01-04,Minor,Perungudi (OMR)
ACC00352,12.924355,80.125453,2025-07-07,Minor,Tambaram (GST Road)
ACC00418,12.794385,80.218061,2023-11-23,Fatal,Kelambakkam (ECR/OMR)
ACC00144,13.13135,80.210077,2025-12-27,Fatal,Retteri Junction
ACC00243,12.966855,80.248948,2025-03-24,Minor,Perungudi (OMR)
ACC00262,12.960428,80.251403,2024-05-28,NonInjury,Perungudi (OMR)
ACC00183,13.009974,80.250598,2024-07-11,Minor,Madhya Kailash Junction
ACC00220,12.962205,80.238229,2023-12-07,Fatal,Perungudi (OMR)
ACC00283,12.959551,80.246064,2025-09-14,Fatal,Perungudi (OMR)
ACC00034,13.012831,80.201055,2024-09-21,Minor,Kathipara Junction
ACC00224,12.967238,80.24579,2024-05-08,Minor,Perungudi (OMR)
ACC00015,13.005847,80.202546,2023-12-01,Minor,Kathipara Junction
ACC00205,12.959073,80.247362,2023-01-06,Grievous,Perungudi (OMR)
ACC00131,13.132983,80.215388,2024-01-08,Minor,Retteri Junction
ACC00024,13.007487,80.197753,2023-11-24,Fatal,Kathipara Junction
ACC00126,13.125494,80.212628,2024-03-27,Minor,Retteri Junction
ACC00150,13.002251,80.249285,2024-05-17,Grievous,Madhya Kailash Junction
ACC00053,13.005112,80.200654,2023-07-11,Fatal,Kathipara Junction
ACC00394,12.790576,80.217871,2025-01-09,Grievous,Kelambakkam (ECR/OMR)
ACC00030,13.012274,80.202817,2023-08-06,Grievous,Kathipara Junction
ACC00114,13.132484,80.216282,2024-10-11,Grievous,Retteri Junction
ACC00263,12.962335,80.241519,2023-09-27,Minor,Perungudi (OMR)
ACC00285,12.96372,80.244502,2025-05-28,Fatal,Perungudi (OMR)
ACC00043,13.006996,80.202701,2023-03-06,Fatal,Kathipara Junction
ACC00039,13.01181,80.201536,2024-09-30,Minor,Kathipara Junction
ACC00426,12.788892,80.219615,2024-07-26,Grievous,Kelambakkam (ECR/OMR)
ACC00318,12.922223,80.12464,2023-03-26,Grievous,Tambaram (GST Road)
ACC00329,12.923281,80.131073,2023-09-22,Minor,Tambaram (GST Road)
ACC00130,13.1332,80.214296,2023-02-25,Grievous,Retteri Junction
ACC00218,12.962464,80.242317,2024-08-11,Fatal,Perungudi (OMR)
ACC00250,12.962693,80.243132,2023-08-26,NonInjury,Perungudi (OMR)
ACC00029,13.000142,80.205843,2024-06-23,Minor,Kathipara Junction
ACC00145,13.004121,80.248626,2024-11-29,Grievous,Madhya Kailash Junction
ACC00303,12.930154,80.124161,2025-04-08,Grievous,Tambaram (GST Road)
ACC00293,12.926197,80.125833,2023-04-12,Minor,Tambaram (GST Road)
ACC00238,12.964017,80.244246,2023-12-26,Minor,Perungudi (OMR)
ACC00391,12.787672,80.215897,2024-08-17,Grievous,Kelambakkam (ECR/OMR)
ACC00115,13.136253,80.211838,2025-10-30,Grievous,Retteri Junction
ACC00135,13.133024,80.213788,2023-03-24,Minor,Retteri Junction
ACC00021,13.008296,80.204996,2024-06-22,Minor,Kathipara Junction
ACC00202,13.004326,80.247236,2025-08-25,Minor,Madhya Kailash Junction
ACC00342,12.92253,80.127582,2025-12-16,Grievous,Tambaram (GST Road)
ACC00216,12.95845,80.238161,2025-12-28,Minor,Perungudi (OMR)
ACC00175,13.005062,80.245701,2024-05-06,Fatal,Madhya Kailash Junction
ACC00064,13.006325,80.205842,2024-10-05,Minor,Kathipara Junction
ACC00196,13.003145,80.243777,2023-09-26,Fatal,Madhya Kailash Junction
ACC00344,12.925586,80.126297,2025-01-30,Grievous,Tambaram (GST Road)
ACC00332,12.928621,80.129476,2023-02-07,Grievous,Tambaram (GST Road)
ACC00249,12.964043,80.241528,2023-10-14,Grievous,Perungudi (OMR)
ACC00271,12.963002,80.243449,2023-05-15,Grievous,Perungudi (OMR)
ACC00138,13.128304,80.212967,2025-01-25,Minor,Retteri Junction
ACC00194,13.010421,80.243167,2025-08-04,Fatal,Madhya Kailash Junction
ACC00261,12.962743,80.240884,2023-01-06,Minor,Perungudi (OMR)
ACC00371,12.790608,80.219285,2024-07-13,Minor,Kelambakkam (ECR/OMR)
ACC00180,13.003366,80.249075,2024-06-28,Minor,Madhya Kailash Junction
ACC00379,12.787594,80.217882,2023-04-28,Minor,Kelambakkam (ECR/OMR)
ACC00326,12.926124,80.127538,2024-08-04,Minor,Tambaram (GST Road)
ACC00156,13.006071,80.243957,2025-09-02,Minor,Madhya Kailash Junction
ACC00192,13.005001,80.254392,2023-03-17,Minor,Madhya Kailash Junction
ACC00117,13.130104,80.210389,2024-05-21,Fatal,Retteri Junction
ACC00040,13.003664,80.206365,2025-11-25,Grievous,Kathipara Junction
ACC00341,12.926523,80.125882,2025-06-21,Minor,Tambaram (GST Road)
ACC00035,13.007417,80.205932,2023-06-11,Grievous,Kathipara Junction
ACC00260,12.96654,80.245034,2024-03-18,Fatal,Perungudi (OMR)
ACC00431,12.791208,80.216575,2025-11-21,Fatal,Kelambakkam (ECR/OMR)
ACC00158,13.005882,80.250307,2025-01-25,Fatal,Madhya Kailash Junction
ACC00315,12.920742,80.127822,2023-04-26,Minor,Tambaram (GST Road)
ACC00438,12.78929,80.216093,2025-02-17,Fatal,Kelambakkam (ECR/OMR)
ACC00164,13.006986,80.249238,2025-12-29,Fatal,Madhya Kailash Junction
ACC00389,12.790499,80.221542,2023-12-20,Fatal,Kelambakkam (ECR/OMR)
ACC00413,12.791696,80.217988,2024-12-08,NonInjury,Kelambakkam (ECR/OMR)
ACC00080,13.124781,80.212182,2023-10-31,Grievous,Retteri Junction
ACC00198,13.010881,80.248133,2023-11-21,Minor,Madhya Kailash Junction
ACC00181,13.007255,80.246346,2024-09-21,Fatal,Madhya Kailash Junction
ACC00228,12.970272,80.2399,2025-05-18,Grievous,Perungudi (OMR)
ACC00230,12.962761,80.241765,2025-01-05,Grievous,Perungudi (OMR)
ACC00237,12.962088,80.242141,2023-09-27,Grievous,Perungudi (OMR)
ACC00129,13.133867,80.208115,2025-12-29,NonInjury,Retteri Junction
ACC00399,12.788828,80.217504,2024-01-08,Minor,Kelambakkam (ECR/OMR)
ACC00350,12.924393,80.127508,2024-11-17,Minor,Tambaram (GST Road)
ACC00357,12.930172,80.129196,2023-02-03,Grievous,Tambaram (GST Road)
ACC00079,13.135754,80.218462,2023-11-02,Minor,Retteri Junction
ACC00335,12.925675,80.125851,2025-12-14,Minor,Tambaram (GST Road)
ACC00317,12.930206,80.128982,2023-07-04,Fatal,Tambaram (GST Road)
ACC00171,13.008225,80.247312,2024-04-07,Minor,Madhya Kailash Junction
ACC00016,13.004957,80.204269,2024-03-25,Minor,Kathipara Junction
ACC00061,13.008955,80.204638,2024-04-26,Grievous,Kathipara Junction
ACC00356,12.927891,80.127925,2025-07-25,Minor,Tambaram (GST Road)
ACC00093,13.136199,80.219067,2024-06-27,Fatal,Retteri Junction
ACC00400,12.790176,80.218433,2023-04-24,Grievous,Kelambakkam (ECR/OMR)
ACC00067,12.996845,80.206507,2023-05-31,NonInjury,Kathipara Junction
ACC00006,13.007368,80.201943,2024-07-23,Grievous,Kathipara Junction
ACC00155,13.003323,80.246128,2024-05-09,Fatal,Madhya Kailash Junction
ACC00169,13.007551,80.248095,2023-04-20,Grievous,Madhya Kailash Junction
ACC00137,13.128638,80.21226,2023-08-23,Grievous,Retteri Junction
ACC00229,12.960686,80.239816,2025-02-26,Grievous,Perungudi (OMR)
ACC00121,13.131644,80.215452,2024-03-14,Minor,Retteri Junction
ACC00197,13.009614,80.245956,2023-09-06,Minor,Madhya Kailash Junction
ACC00134,13.130222,80.21503,2023-04-17,Fatal,Retteri Junction
ACC00004,13.006575,80.203687,2025-05-09,Fatal,Kathipara Junction
ACC00128,13.12791,80.217667,2023-12-05,Grievous,Retteri Junction
ACC00166,13.006214,80.245895,2025-10-02,Minor,Madhya Kailash Junction
ACC00322,12.923054,80.126947,2025-06-15,Fatal,Tambaram (GST Road)
ACC00072,13.008764,80.203107,2023-08-08,Fatal,Kathipara Junction
ACC00095,13.122278,80.217153,2024-01-25,Fatal,Retteri Junction
ACC00049,13.011765,80.20551,2023-08-12,Minor,Kathipara Junction
ACC00206,12.961382,80.245373,2025-09-29,Grievous,Perungudi (OMR)
ACC00045,13.007626,80.205268,2025-08-26,Minor,Kathipara Junction
ACC00168,13.004937,80.24807,2025-09-05,Fatal,Madhya Kailash Junction
ACC00264,12.967177,80.243394,2024-10-25,Fatal,Perungudi (OMR)
ACC00219,12.966871,80.24282,2023-07-21,Grievous,Perungudi (OMR)
ACC00208,12.958341,80.241696,2024-10-21,Grievous,Perungudi (OMR)
ACC00311,12.925045,80.128682,2023-11-10,Fatal,Tambaram (GST Road)
ACC00366,12.927105,80.123011,2025-09-07,NonInjury,Tambaram (GST Road)
ACC00152,13.006732,80.243473,2024-11-19,Minor,Madhya Kailash Junction
ACC00173,13.012533,80.240359,2023-05-04,Grievous,Madhya Kailash Junction
ACC00008,13.005208,80.205648,2024-06-25,Grievous,Kathipara Junction
ACC00305,12.926701,80.126612,2025-07-31,Minor,Tambaram (GST Road)
ACC00353,12.920017,80.122676,2024-03-17,Fatal,Tambaram (GST Road)
ACC00235,12.959169,80.239738,2023-10-08,Minor,Perungudi (OMR)
ACC00084,13.13221,80.212798,2023-12-29,Fatal,Retteri Junction
ACC00331,12.923239,80.1249,2025-12-14,Fatal,Tambaram (GST Road)
ACC00058,13.008687,80.20579,2023-05-05,Minor,Kathipara Junction
ACC00388,12.789406,80.218001,2025-10-02,Grievous,Kelambakkam (ECR/OMR)
ACC00346,12.923787,80.131968,2025-11-17,Grievous,Tambaram (GST Road)
ACC00240,12.955387,80.241621,2024-06-10,Minor,Perungudi (OMR)
ACC00259,12.964467,80.243744,2024-02-25,NonInjury,Perungudi (OMR)
ACC00069,13.01179,80.199512,2023-11-20,Grievous,Kathipara Junction
ACC00253,12.957778,80.24038,2023-07-22,Minor,Perungudi (OMR)
ACC00269,12.954431,80.244916,2025-09-07,Fatal,Perungudi (OMR)
ACC00365,12.92677,80.129079,2023-12-25,Grievous,Tambaram (GST Road)
ACC00233,12.966099,80.240258,2024-08-09,Minor,Perungudi (OMR)
ACC00146,13.009842,80.247619,2025-06-06,Grievous,Madhya Kailash Junction
ACC00172,13.007192,80.244473,2024-08-31,Minor,Madhya Kailash Junction
ACC00055,13.001311,80.204411,2023-12-04,Minor,Kathipara Junction
ACC00291,12.924849,80.124912,2024-11-29,Grievous,Tambaram (GST Road)
ACC00382,12.791093,80.220243,2025-01-20,Minor,Kelambakkam (ECR/OMR)
ACC00005,13.008009,80.207643,2023-01-14,Minor,Kathipara Junction
ACC00312,12.925181,80.122629,2025-10-08,Fatal,Tambaram (GST Road)
ACC00360,12.92661,80.131115,2025-01-08,Grievous,Tambaram (GST Road)
ACC00096,13.1301,80.2185,2024-02-08,Fatal,Retteri Junction
ACC00254,12.963982,80.239312,2024-07-26,Minor,Perungudi (OMR)
ACC00204,13.006682,80.245745,2025-04-29,Fatal,Madhya Kailash Junction
ACC00019,13.009012,80.210674,2024-10-06,Minor,Kathipara Junction
ACC00091,13.132615,80.213289,2025-03-29,Minor,Retteri Junction
ACC00214,12.962346,80.242619,2023-11-13,Fatal,Perungudi (OMR)
ACC00090,13.132184,80.214081,2023-05-23,Grievous,Retteri Junction
ACC00020,13.008091,80.207141,2025-07-28,Minor,Kathipara Junction
ACC00274,12.960819,80.242057,2024-03-16,Minor,Perungudi (OMR)
ACC00119,13.128559,80.212072,2024-08-08,Fatal,Retteri Junction
ACC00367,12.786292,80.215964,2025-07-26,Fatal,Kelambakkam (ECR/OMR)
ACC00046,13.007419,80.207102,2023-07-13,Grievous,Kathipara Junction
ACC00031,13.009005,80.201874,2024-02-12,Minor,Kathipara Junction
ACC00147,13.010854,80.24633,2023-11-10,Minor,Madhya Kailash Junction
ACC00165,13.007361,80.248024,2024-08-21,Fatal,Madhya Kailash Junction
ACC00358,12.922249,80.124106,2024-08-19,Minor,Tambaram (GST Road)
ACC00103,13.126666,80.215475,2025-08-10,Minor,Retteri Junction
ACC00406,12.787401,80.215975,2023-03-26,Grievous,Kelambakkam (ECR/OMR)
ACC00244,12.967207,80.241793,2025-03-19,Grievous,Perungudi (OMR)
ACC00209,12.967658,80.236738,2025-02-23,Fatal,Perungudi (OMR)
ACC00081,13.129447,80.214164,2023-03-23,Grievous,Retteri Junction
ACC00282,12.96514,80.239366,2024-10-01,Minor,Perungudi (OMR)
ACC00003,13.006627,80.203299,2024-04-21,Fatal,Kathipara Junction
ACC00345,12.923585,80.126531,2023-09-13,Minor,Tambaram (GST Road)
ACC00333,12.923671,80.128438,2025-09-22,Fatal,Tambaram (GST Road)
ACC00417,12.790065,80.226007,2024-11-01,Fatal,Kelambakkam (ECR/OMR)
ACC00170,13.009891,80.251836,2023-06-24,Minor,Madhya Kailash Junction
ACC00424,12.793577,80.216743,2025-01-19,Minor,Kelambakkam (ECR/OMR)
ACC00052,13.001683,80.205796,2023-04-14,Grievous,Kathipara Junction
ACC00027,13.006642,80.20237,2024-06-30,Minor,Kathipara Junction
ACC00120,13.130504,80.216491,2023-06-15,Minor,Retteri Junction
ACC00327,12.924827,80.132859,2023-11-04,Minor,Tambaram (GST Road)
ACC00383,12.785252,80.225584,2023-11-11,Fatal,Kelambakkam (ECR/OMR)
ACC00272,12.964846,80.24589,2024-10-27,Grievous,Perungudi (OMR)
ACC00026,13.004493,80.2018,2023-01-24,Fatal,Kathipara Junction
ACC00435,12.789457,80.220086,2023-08-13,Grievous,Kelambakkam (ECR/OMR)
ACC00123,13.135486,80.215954,2023-02-10,Grievous,Retteri Junction
ACC00301,12.919221,80.126991,2023-05-28,Minor,Tambaram (GST Road)
ACC00316,12.924196,80.127944,2023-03-19,Grievous,Tambaram (GST Road)
ACC00056,13.000955,80.209717,2025-07-20,Grievous,Kathipara Junction
ACC00412,12.787983,80.2202,2024-10-02,Grievous,Kelambakkam (ECR/OMR)
ACC00140,13.130552,80.212023,2023-02-22,Grievous,Retteri Junction
ACC00409,12.785786,80.220052,2024-09-10,Grievous,Kelambakkam (ECR/OMR)
ACC00139,13.132266,80.217356,2023-08-23,Minor,Retteri Junction
ACC00276,12.957998,80.245783,2024-10-02,Grievous,Perungudi (OMR)
ACC00104,13.126036,80.2154,2023-12-14,Grievous,Retteri Junction
ACC00110,13.127998,80.213869,2023-01-12,Minor,Retteri Junction
ACC00374,12.788978,80.217317,2024-06-30,Minor,Kelambakkam (ECR/OMR)
ACC00132,13.133024,80.2147,2024-10-31,Fatal,Retteri Junction
ACC00336,12.927543,80.127639,2023-09-26,Minor,Tambaram (GST Road)
ACC00227,12.965572,80.240275,2025-06-23,Fatal,Perungudi (OMR)
ACC00178,13.005471,80.242865,2024-04-23,Grievous,Madhya Kailash Junction
ACC00041,13.00511,80.20439,2023-02-13,Fatal,Kathipara Junction
